1,1,1,1
2,2,2,2
3,3,3,3
4,4,4,4
5,5,5,5
6,6,6,6
7,7,7,7
8,8,8,8
9,9,9,9
10,10,10,10
11,11,11,11
12,12,12,12
13,13,13,13
14,14,14,14
15,15,15,15
16,16,16,16
17,17,17,17
18,18,18,18
19,19,19,19
20,20,20,20
21,21,21,21
22,22,22,22
23,23,23,23
24,24,24,24
25,25,25,25
26,26,26,26
27,27,27,27
28,28,28,28
29,29,29,29
30,30,30,30
31,31,31,31
32,32,32,32
33,33,33,33
34,34,34,34
35,35,35,35
36,36,36,36
37,37,37,37
38,38,38,38
39,39,39,39
40,40,40,40
41,41,41,41
42,42,42,42
43,43,43,43
44,44,44,44
45,45,45,45
46,46,46,46
47,47,47,47
48,48,48,48
49,49,49,49
50,50,50,50
51,51,51,51
52,52,52,52
53,53,53,53
54,54,54,54
55,55,55,55
56,56,56,56
57,57,57,57
58,58,58,58
59,59,59,59
60,60,60,60
61,61,61,61
62,62,62,62
63,63,63,63
64,64,64,64
65,65,65,65
66,66,66,66
67,67,67,67
68,68,68,68
69,69,69,69
70,70,70,70
71,71,71,71
72,72,72,72
73,73,73,73
74,74,74,74
75,75,75,75
76,76,76,76
77,77,77,77
78,78,78,78
79,79,79,79
80,80,80,80
81,81,81,81
82,82,82,82
83,83,83,83
84,84,84,84
85,85,85,85
86,86,86,86
87,87,87,87
88,88,88,88
89,89,1,89
90,90,2,90
91,91,3,91
92,92,4,92
93,93,5,93
94,94,6,94
95,95,7,95
96,96,8,96
97,97,9,97
98,98,10,98
99,99,11,99
100,100,12,100
101,101,13,101
102,102,14,102
103,103,15,103
104,104,16,104
105,105,17,105
106,106,18,106
107,107,19,107
108,108,20,108
109,109,21,109
110,110,22,110
111,111,23,111
112,112,24,112
113,113,25,113
114,114,26,114
115,115,27,115
116,116,28,116
117,117,29,117
118,118,30,118
119,119,31,119
120,120,32,120
121,121,33,121
122,122,34,122
123,123,35,123
124,124,36,124
125,125,37,125
126,126,38,126
127,127,39,127
128,128,40,128
129,129,41,129
130,130,42,130
131,131,43,131
132,132,44,132
133,133,45,133
134,134,46,134
135,135,47,135
136,136,48,136
137,137,49,137
138,138,50,138
139,139,51,139
140,140,52,140
141,141,53,141
142,142,54,142
143,143,55,143
144,144,56,144
145,145,57,145
146,146,58,146
147,147,59,147
148,148,60,148
149,149,61,149
150,150,62,150
151,151,63,151
152,152,64,152
153,153,65,153
154,154,66,154
155,155,67,155
156,156,68,156
157,157,69,157
158,158,70,158
159,159,71,159
160,160,72,160
161,161,73,161
162,162,74,162
163,163,75,163
164,164,76,164
165,165,77,165
166,166,78,166
167,167,79,167
168,168,80,168
169,169,81,169
170,170,82,170
171,171,83,171
172,172,84,172
173,173,85,173
174,174,86,174
175,175,87,175
176,176,88,176
177,177,1,177
178,178,2,178
179,179,3,179
180,180,4,180
181,181,5,181
182,182,6,182
183,183,7,183
184,184,8,184
185,185,9,185
186,186,10,186
187,187,11,187
188,188,12,188
189,189,13,189
190,190,14,190
191,191,15,191
192,192,16,192
193,193,17,193
194,194,18,194
195,195,19,195
196,196,20,196
197,197,21,197
198,198,22,198
199,199,23,199
200,200,24,200
201,201,25,201
202,202,26,202
203,203,27,203
204,204,28,204
205,205,29,205
206,206,30,206
207,207,31,207
208,208,32,208
209,209,33,209
210,210,34,210
211,211,35,211
212,212,36,212
213,213,37,213
214,214,38,214
215,215,39,215
216,216,40,216
217,217,41,217
218,218,42,218
219,219,43,219
220,220,44,220
221,221,45,221
222,222,46,222
223,223,47,223
224,224,48,224
225,225,49,225
226,226,50,226
227,227,51,227
228,228,52,228
229,229,53,229
230,230,54,230
231,231,55,231
232,232,56,232
233,233,57,233
234,234,58,234
235,235,59,235
236,236,60,236
237,237,61,237
238,238,62,238
239,239,63,239
240,240,64,240
241,241,65,241
242,242,66,242
243,243,67,243
244,244,68,244
245,245,69,245
246,246,70,246
247,247,71,247
248,248,72,248
249,249,73,249
250,250,74,250
251,251,75,251
252,252,76,252
253,253,77,253
254,254,78,254
255,255,79,255
256,256,80,256
257,257,81,257
258,258,82,258
259,259,83,259
260,260,84,260
261,261,85,261
262,262,86,262
263,263,87,263
264,264,88,264
265,265,1,265
266,266,2,266
267,267,3,267
268,268,4,268
269,269,5,269
270,270,6,270
271,271,7,271
272,272,8,272
273,273,9,273
274,274,10,274
275,275,11,275
276,276,12,276
277,277,13,277
278,278,14,278
279,279,15,279
280,280,16,280
281,281,17,281
282,282,18,282
283,283,19,283
284,284,20,284
285,285,21,285
286,286,22,286
287,287,23,287
